BKL380_KIJ380,VHZ380_BWK380a,VHZ380_BWK380b,KIJ380_OZN380,KIJ380_GT380a,KIJ380_GT380b
-103.9,393.1,393.1,-172.4,891.6,891.6
-89.3,399.4,399.4,-179.8,908.9,908.9
-130.4,379.7,379.7,-158.1,858.2,858.2
-156.2,370.4,370.4,-146.0,829.6,829.6
-117.3,382.1,382.1,-161.0,799.7,799.7
-4.9,419.3,419.3,-207.5,764.3,764.3
-191.4,291.9,291.9,-114.6,840.5,840.5
240.0,467.0,467.0,-293.0,646.7,646.7
337.0,461.4,461.4,-315.3,575.6,575.6
389.6,413.1,413.1,-303.3,402.6,402.6
274.9,304.9,304.9,-214.2,92.1,92.1
215.6,263.3,263.3,-176.0,-18.7,-18.7
-131.1,66.6,66.6,-18.4,376.5,376.5
83.5,224.0,224.0,-138.5,174.6,174.6
247.0,348.4,348.4,-256.2,462.1,462.1
280.8,351.7,351.7,-267.1,463.2,463.2
328.8,360.6,360.6,-265.6,368.0,368.0
252.5,321.1,321.1,-224.2,295.2,295.2
281.5,317.3,317.3,-221.7,250.9,250.9
175.7,236.4,236.4,-166.9,223.2,223.2
-103.7,115.3,115.3,-29.5,-1.1,-1.1
-226.6,30.0,30.0,37.1,16.0,16.0
-198.4,20.6,20.6,33.6,7.9,7.9
-257.5,-20.7,-20.7,72.0,-84.0,-84.0
-324.7,-66.9,-66.9,112.6,-32.4,-32.4
-351.0,-117.7,-117.7,112.9,318.8,318.8
-379.9,-148.1,-148.1,139.5,107.2,107.2
-413.9,-212.8,-212.8,153.4,261.3,261.3
-31.0,-18.1,-18.1,-28.8,-7.9,-7.9
175.2,84.0,84.0,-120.2,-104.8,-104.8
171.5,90.9,90.9,-122.6,-95.6,-95.6
155.8,88.3,88.3,-116.7,-105.6,-105.6
