MVL380_gen,MVL380_exp,SMH380_gen,MVL380_wind,BWK380_load,CST380_load,KIJ380_load,MVL380_load,WL380W_load,WL380Z_load,WTR380_load,SMH380_load
-1122.9,819.8,0.0,-561.6999999999999,151.2,330.0,-223.79999999999998,208.6,79.0,40.4,176.39999999999998,109.4
-1122.9,0.0,0.0,-520.8000000000001,156.3,341.4,-214.5,215.6,81.6,41.8,182.39999999999998,113.1
-1122.9,-516.6,0.0,-451.19999999999993,166.8,364.20000000000005,-195.60000000000002,230.0,87.0,44.6,194.70000000000002,120.7
-1122.9,-610.5,0.0,-435.4000000000001,179.7,391.79999999999995,-172.5,247.4,93.6,48.0,209.39999999999998,129.8
-1122.9,143.2,0.0,-424.3,192.60000000000002,420.29999999999995,-148.8,265.6,100.6,51.5,224.70000000000002,139.3
-1122.9,39.2,0.0,-419.99999999999994,208.5,454.79999999999995,-120.30000000000001,287.4,108.8,55.7,243.0,150.7
-1122.9,0.0,0.0,-416.49999999999994,205.5,448.20000000000005,-432.59999999999997,283.2,107.2,54.9,239.39999999999998,148.5
-1539.2999999999997,0.0,0.0,-396.6,214.79999999999998,468.29999999999995,-416.09999999999997,296.0,112.0,57.4,250.20000000000002,155.2
-1475.4999999999998,768.2,0.0,-325.20000000000005,221.70000000000002,483.59999999999997,-403.5,305.6,115.6,59.2,258.29999999999995,160.3
-1123.1000000000001,804.6,0.0,-287.8,222.0,484.5,-402.59999999999997,306.2,115.8,59.4,258.9,160.6
-1122.9,411.6,0.0,-315.70000000000005,229.5,500.70000000000005,-389.09999999999997,316.4,119.8,61.3,267.6,166.0
-1429.9,492.7,-325.2,-360.3,223.20000000000002,486.90000000000003,-400.79999999999995,307.6,116.4,59.6,260.1,161.3
-2351.6,1000.0,-325.2,-451.2000000000001,252.29999999999998,550.2,-348.0,347.6,131.6,67.4,294.0,182.4
-2356.8,1000.0,-325.2,-504.6000000000002,257.1,560.7,-339.29999999999995,354.2,134.0,68.7,299.70000000000005,185.8
-2135.2999999999997,1000.0,-325.2,-551.5999999999999,250.20000000000002,546.0,-351.6,345.0,130.6,66.9,291.9,181.0
-1926.2999999999997,1000.0,-325.2,-546.5999999999999,238.20000000000002,519.5999999999999,-373.5,328.2,124.2,63.6,277.5,172.2
-2020.6999999999998,1000.0,-325.2,-510.1000000000001,221.39999999999998,482.70000000000005,-404.09999999999997,305.0,115.4,59.1,258.0,160.0
-1326.4,1000.0,-215.7,-438.0,221.10000000000002,482.40000000000003,-404.40000000000003,304.8,115.4,59.1,257.70000000000005,159.9
-1219.0,308.7,-101.9,-403.29999999999995,198.60000000000002,433.5,-138.0,273.8,103.6,53.1,231.60000000000002,143.7
-621.7,92.9,0.0,-407.5,174.60000000000002,380.70000000000005,-181.8,240.6,91.0,46.6,203.39999999999998,126.1
-621.7,-319.2,0.0,-360.4,161.39999999999998,351.9,-205.79999999999998,222.4,84.2,43.1,188.10000000000002,116.6
-621.7,131.1,0.0,-332.8,156.60000000000002,341.4,-214.5,215.6,81.6,41.8,182.39999999999998,113.1
-621.7,370.2,0.0,-343.9,153.0,333.9,-220.79999999999998,211.0,79.8,40.9,178.5,110.6
-621.7,-253.8,0.0,-386.79999999999995,152.39999999999998,332.70000000000005,-221.70000000000002,210.2,79.6,40.7,177.89999999999998,110.3
-621.7,-868.9,0.0,-439.90000000000003,160.5,350.4,-207.0,221.4,83.8,42.9,187.2,116.1
-621.7,-1000.0,0.0,-490.5,183.60000000000002,400.79999999999995,-472.20000000000005,253.2,95.8,49.1,214.20000000000002,132.8
-873.7,-1000.0,0.0,-543.6,240.29999999999998,524.4000000000001,-369.6,331.2,125.4,64.2,280.20000000000005,173.8
-894.6,-1000.0,0.0,-598.9,286.20000000000005,624.0,-286.5,394.4,149.2,76.4,333.6,206.8
-894.6,-791.6,0.0,-606.0,302.70000000000005,660.5999999999999,-256.20000000000005,417.4,158.0,80.9,353.1,218.9
-932.9,207.3,-40.6,-547.6000000000001,314.4,686.0999999999999,-235.20000000000002,433.6,164.0,84.0,366.6,227.4
-1009.6,638.3,-121.9,-476.70000000000005,322.5,703.5,-220.5,444.6,168.2,86.2,375.9,233.2
-1009.6,1000.0,-121.9,-466.9,311.70000000000005,679.8,-240.29999999999998,429.6,162.6,83.3,363.29999999999995,225.3
-1009.6,1000.0,-121.9,-477.39999999999986,309.29999999999995,674.7,-244.5,426.2,161.4,82.6,360.6,223.6
-1009.6,1000.0,-121.9,-453.0,308.1,672.3,-246.60000000000002,424.8,160.8,82.3,359.4,222.8
-894.6,1000.0,0.0,-422.5999999999999,309.9,675.9000000000001,-243.60000000000002,427.0,161.6,82.8,361.20000000000005,224.0
-894.6,1000.0,0.0,-410.5000000000001,310.5,677.7,-242.10000000000002,428.2,162.0,83.0,362.1,224.6
-621.7,1000.0,0.0,-428.50000000000006,329.1,718.2,-208.5,453.8,171.8,88.0,383.70000000000005,238.0
-621.7,1000.0,0.0,-480.6000000000001,306.0,667.5,-250.5,421.8,159.6,81.7,356.70000000000005,221.2
-621.7,1000.0,0.0,-449.6,292.79999999999995,638.7,-274.5,403.6,152.8,78.2,341.4,211.7
-894.6,1000.0,0.0,-422.4999999999999,273.9,597.9000000000001,-308.4,377.8,143.0,73.2,319.5,198.1
-894.6,1000.0,0.0,-398.30000000000007,251.10000000000002,547.8,-350.1,346.0,131.0,67.1,292.5,181.5
-867.8000000000001,1000.0,0.0,-387.20000000000005,226.20000000000002,493.5,-395.09999999999997,311.8,118.0,60.4,263.70000000000005,163.5
-894.6,1000.0,0.0,-410.5,202.20000000000002,441.0,-438.59999999999997,278.8,105.6,54.0,235.79999999999998,146.2
-1122.8,541.8,0.0,-424.9999999999999,177.3,386.70000000000005,-483.90000000000003,244.2,92.4,47.4,206.70000000000002,128.1
-713.5,229.8,0.0,-366.8,161.10000000000002,351.29999999999995,-513.3,221.8,84.0,43.0,187.8,116.4
-713.5,0.0,0.0,-308.4,168.0,366.6,-500.40000000000003,231.6,87.6,44.9,195.89999999999998,121.5
-713.5,-275.2,0.0,-274.69999999999993,165.89999999999998,361.5,-197.70000000000002,228.4,86.4,44.3,193.20000000000002,119.8
-713.5,-1000.0,0.0,-255.29999999999995,151.2,330.0,-530.7,208.6,79.0,40.4,176.39999999999998,109.4
-713.5,-1000.0,0.0,-249.39999999999998,162.0,353.4,-511.5,223.2,84.6,43.3,188.7,117.1
-838.6,-1000.0,0.0,-239.4000000000001,201.29999999999998,438.90000000000003,-440.40000000000003,277.4,105.0,53.8,234.60000000000002,145.5
-713.5,-1000.0,0.0,-230.70000000000005,261.0,569.4000000000001,-332.1,359.8,136.2,69.7,304.20000000000005,188.7
-713.5,-1000.0,0.0,-197.19999999999993,306.0,667.8,-250.20000000000002,422.0,159.8,81.8,357.0,221.3
-790.2,-1000.0,-81.3,-148.89999999999992,321.0,700.5,-223.20000000000002,442.6,167.6,85.8,374.4,232.1
-1074.3,-350.5,-162.6,-119.20000000000002,322.79999999999995,704.4000000000001,-219.89999999999998,445.0,168.4,86.3,376.5,233.4
-1276.2,-13.0,-162.6,-86.39999999999995,324.0,707.0999999999999,-217.79999999999998,446.8,169.2,86.6,377.70000000000005,234.3
-1276.2,0.0,-162.6,-77.79999999999993,317.70000000000005,693.0,-229.5,437.8,165.6,84.9,370.20000000000005,229.6
-905.2,-500.0,-203.2,-85.60000000000002,318.29999999999995,694.2,-228.29999999999998,438.6,166.0,85.0,371.1,230.1
